station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.25_-52.0,0.0056022408963585435,357,23,4.290194995701313,2.0,3.4593837535014007,0.5781376518218623,1.0,1.9663865546218486,0.5085470085470086,0.04481792717086835,0.0,0.056022408963585436,0.0,-20.25,-52.0,True,0.0,0.0
-20.25_-54.0,0.005649717514124294,354,24,5.9456313494592905,3.0,3.4604519774011298,0.8669387755102042,1.0,2.0451977401129944,0.4889502762430939,0.03389830508474576,0.0,0.06497175141242938,0.0,-20.25,-54.0,True,0.0,0.0
-20.25_-56.0,0.005649717514124294,354,21,3.3014367800205946,6.0,3.426553672316384,1.751030502885408,1.5,1.9548022598870056,0.7673410404624278,0.03954802259887006,0.0,0.06497175141242938,0.0,-20.25,-56.0,True,0.0,0.0
-20.25_-58.0,0.0028011204481792717,357,20,7.780078123323619,7.0,3.2717086834733893,2.139554794520548,4.0,1.6330532212885154,2.449399656946827,0.022408963585434174,0.0,0.08683473389355742,0.0,-20.25,-58.0,True,0.0,0.0
-20.25_-60.0,0.002793296089385475,358,15,7.942065526731312,2.0,2.941340782122905,0.6799620132953467,1.0,1.6201117318435754,0.6172413793103448,0.01675977653631285,0.0,0.08379888268156424,0.0,-20.25,-60.0,True,0.0,0.0
-20.25_-62.0,0.0027397260273972603,365,12,11.097383731976151,2.0,2.9315068493150687,0.6822429906542056,1.0,1.6273972602739726,0.6144781144781145,0.01643835616438356,0.0,0.0821917808219178,0.0,-20.25,-62.0,True,0.0,0.0
-20.25_-64.0,0.0027548209366391185,363,18,5.042066483292729,1.0,2.8181818181818183,0.3548387096774193,5.0,1.5922865013774106,3.140138408304498,0.008264462809917356,0.0,0.0881542699724518,0.0,-20.25,-64.0,True,0.0,0.0
-20.25_-66.0,0.0027624309392265192,362,8,3.798828658182174,1.0,2.787292817679558,0.3587710604558969,1.0,1.6132596685082874,0.6198630136986301,0.03038674033149171,0.0,0.0718232044198895,0.038461538461538464,-20.25,-66.0,True,0.0,13.923076923076925
-20.25_-68.0,0.0027472527472527475,364,6,3.603912319522351,7.0,3.3076923076923075,2.116279069767442,1.0,1.771978021978022,0.5643410852713179,0.04395604395604396,0.0,0.057692307692307696,0.0,-20.25,-68.0,True,0.0,0.0
-20.25_-70.0,0.00273224043715847,366,6,2.7995252748951316,1.0,3.0765027322404372,0.325044404973357,1.0,1.7021857923497268,0.5874799357945425,0.04644808743169399,0.0,0.0546448087431694,0.05,-20.25,-70.0,True,0.0,18.3
-20.25_-72.0,0.0027397260273972603,365,6,6.5092944307252765,1.0,4.1287671232876715,0.2422030524220305,1.0,1.906849315068493,0.5244252873563219,0.049315068493150684,0.0,0.057534246575342465,0.047619047619047616,-20.25,-72.0,False,0.0,17.38095238095238
-20.25_-74.0,0.005970149253731343,335,35,3.084168105851859,1.0,4.214925373134329,0.23725212464589232,4.0,2.056716417910448,1.9448476052249637,0.056716417910447764,0.0,0.04477611940298507,0.0,-20.25,-74.0,False,0.0,0.0
-20.25_-76.0,0.005571030640668524,359,22,3.2439423725008965,1.0,3.348189415041783,0.29866888519134777,1.0,1.9972144846796658,0.500697350069735,0.052924791086350974,0.0,0.04735376044568245,0.058823529411764705,-20.25,-76.0,False,0.0,10.558823529411764
-21.75_-52.0,0.002785515320334262,359,20,9.78956795297563,7.0,3.518105849582173,1.9897070467141724,2.0,1.9777158774373258,1.0112676056338028,0.03064066852367688,0.0,0.06685236768802229,0.0,-21.75,-52.0,True,0.0,0.0
