station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.28169_-52.5,0.005434782608695652,184,10,18.47704597748816,5.0,3.0434782608695654,1.6428571428571428,1.0,1.8206521739130435,0.5492537313432836,0.04891304347826087,0.0,0.05434782608695652,0.0,-20.28169,-52.5,True,0.0,0.0
-20.28169_-55.0,0.005434782608695652,184,11,20.557456137612462,1.0,2.847826086956522,0.3511450381679389,1.0,1.7608695652173914,0.5679012345679012,0.02717391304347826,0.0,0.07065217391304347,0.0,-20.28169,-55.0,True,0.0,0.0
-20.28169_-57.5,0.005434782608695652,184,5,27.412280905991793,1.0,2.657608695652174,0.37627811860940696,7.0,1.7826086956521738,3.9268292682926833,0.03260869565217391,0.0,0.06521739130434782,0.0,-20.28169,-57.5,True,0.0,0.0
-20.28169_-60.0,0.005434782608695652,184,9,11.785547621548176,4.0,2.619565217391304,1.5269709543568466,1.0,1.641304347826087,0.609271523178808,0.043478260869565216,0.0,0.05434782608695652,0.0,-20.28169,-60.0,True,0.0,0.0
-20.28169_-62.5,0.005434782608695652,184,9,35.8564012683928,4.0,2.385869565217391,1.6765375854214124,1.0,1.641304347826087,0.609271523178808,0.02717391304347826,0.0,0.07065217391304347,0.0,-20.28169,-62.5,True,0.0,0.0
-20.28169_-65.0,0.005434782608695652,184,11,11.290623480454087,1.0,2.4293478260869565,0.4116331096196868,7.0,1.8532608695652173,3.777126099706745,0.03260869565217391,0.0,0.07608695652173914,0.0,-20.28169,-65.0,True,0.0,0.0
-20.28169_-67.5,0.005434782608695652,184,4,14.181787893176079,1.0,2.608695652173913,0.3833333333333333,1.0,1.8315217391304348,0.5459940652818991,0.04891304347826087,0.0,0.04891304347826087,0.0,-20.28169,-67.5,True,0.0,0.0
-20.28169_-70.0,0.005434782608695652,184,1,1.00072065833956,1.0,2.489130434782609,0.4017467248908297,3.0,1.9673913043478262,1.5248618784530386,0.06521739130434782,0.0,0.043478260869565216,0.0,-20.28169,-70.0,True,0.0,0.0
-21.549295_-52.5,0.005434782608695652,184,15,23.266321700066328,1.0,2.858695652173913,0.34980988593155893,1.0,1.7880434782608696,0.5592705167173252,0.03804347826086957,0.0,0.06521739130434782,0.0,-21.549295,-52.5,True,0.0,0.0
-21.549295_-55.0,0.005434782608695652,184,13,29.29317494854331,4.0,2.9782608695652173,1.343065693430657,1.0,1.798913043478261,0.5558912386706948,0.02717391304347826,0.0,0.07065217391304347,0.0,-21.549295,-55.0,True,0.0,0.0
