station,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes,increasing_optimal_length,increasing_optimal_length_pp_extreme,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes,high_t_optimal_length,high_t_optimal_length_pp_extreme,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,extreme_pp_rate,days_with_pp,extreme_pp_value,lat,lon,is_land,increasing_optimal_length_pp_extreme_norm,high_t_optimal_length_pp_extreme_norm,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm,avg_high_t_chain_length_for_extremes_norm,avg_increasing_chain_length_for_extremes_norm
-20.92957425448953_-53.4375,3.199248120300752,3.0714285714285716,1,0.07894736842105263,1.8045112781954886,2.0,6,0.125,0.10526315789473684,0.14285714285714285,0.011278195488721804,0.3333333333333333,0.05263157894736842,266,323.13321040710434,-20.92957425448953,-53.4375,True,1.5,2.375,2.7142857142857144,6.333333333333333,1.1083333333333334,0.9600470035252644
-20.92957425448953_-56.25,3.2226027397260273,3.0,2,0.08433734939759036,1.7773972602739727,2.533333333333333,7,0.2222222222222222,0.10616438356164383,0.03225806451612903,0.00684931506849315,0.0,0.05136986301369863,292,230.31727765628602,-20.92957425448953,-56.25,True,1.6417670682730923,4.325925925925926,0.6279569892473118,0.0,1.425305073859987,0.9309245483528162
-20.92957425448953_-59.0625,2.9754601226993866,2.9411764705882355,4,0.09803921568627451,1.7147239263803682,2.0,5,0.16666666666666666,0.2085889570552147,0.014705882352941176,0.024539877300613498,0.125,0.05214723926380368,326,215.8200520032551,-20.92957425448953,-59.0625,True,1.8800461361014995,3.196078431372549,0.2820069204152249,2.3970588235294117,1.1663685152057244,0.9884778653729533
-20.92957425448953_-61.875,3.098,2.4615384615384617,3,0.08737864077669903,2.182,1.7307692307692308,1,0.06934306569343066,0.082,0.04878048780487805,0.01,0.0,0.052,500,143.7305225757882,-20.92957425448953,-61.875,True,1.6803584764749815,1.3335204941044358,0.9380863039399625,0.0,0.7932031305083551,0.7945572826140935
-20.92957425448953_-64.6875,2.8353909465020575,2.769230769230769,5,0.09523809523809523,2.016460905349794,1.7692307692307692,3,0.14814814814814814,0.11522633744855967,0.07142857142857142,0.00411522633744856,0.0,0.053497942386831275,243,871.6027683578432,-20.92957425448953,-64.6875,True,1.7802197802197801,2.769230769230769,1.335164835164835,0.0,0.8773940345368917,0.9766662945182539
-20.92957425448953_-67.5,2.746913580246914,2.588235294117647,7,0.14285714285714285,1.5679012345679013,1.5294117647058822,6,0.25,0.07716049382716049,0.0,0.009259259259259259,0.0,0.05246913580246913,324,461.8073717923835,-20.92957425448953,-67.5,True,2.722689075630252,4.764705882352941,0.0,0.0,0.9754515979620193,0.9422339722405816
-20.92957425448953_-70.3125,1.9589041095890412,1.75,2,0.1,4.315068493150685,1.625,2,0.35714285714285715,0.0,,0.0,,0.0547945205479452,146,15.084391564596444,-20.92957425448953,-70.3125,False,1.8250000000000002,6.517857142857143,,,0.3765873015873016,0.8933566433566433
-20.92957425448953_-73.125,5.392070484581498,4.333333333333333,3,0.21052631578947367,2.33920704845815,1.5833333333333333,2,0.1,0.00881057268722467,0.0,0.05726872246696035,0.07692307692307693,0.05286343612334802,227,8.527611033059657,-20.92957425448953,-73.125,False,3.9824561403508767,1.8916666666666668,0.0,1.455128205128205,0.6768675455116132,0.8036492374727668
-20.92957425448953_-75.9375,6.592920353982301,6.5,2,0.16666666666666666,1.4955752212389382,2.0,2,0.3333333333333333,0.1504424778761062,0.11764705882352941,0.035398230088495575,0.0,0.05309734513274336,226,7.636078624636866,-20.92957425448953,-75.9375,False,3.138888888888889,6.277777777777778,2.215686274509804,0.0,1.3372781065088757,0.9859060402684564
-23.72017393353477_-53.4375,3.0808625336927222,2.9473684210526314,4,0.07317073170731707,1.9973045822102427,1.6842105263157894,2,0.07692307692307693,0.05121293800539083,0.10526315789473684,0.005390835579514825,0.0,0.05121293800539083,371,165.63502148492262,-23.72017393353477,-53.4375,True,1.428754813863928,1.5020242914979758,2.0554016620498614,0.0,0.8432417075076354,0.956669889947967
-23.72017393353477_-56.25,3.1744791666666665,3.3684210526315788,6,0.10526315789473684,1.8411458333333333,1.736842105263158,4,0.13636363636363635,0.06770833333333333,0.07692307692307693,0.0026041666666666665,0.0,0.049479166666666664,384,136.4596419269219,-23.72017393353477,-56.25,True,2.1274238227146816,2.755980861244019,1.5546558704453444,0.0,0.9433484701853645,1.0610940805664695
-23.72017393353477_-59.0625,2.9675810473815463,3.380952380952381,7,0.11764705882352941,1.57356608478803,2.1904761904761907,5,0.3,0.18703241895261846,0.04,0.0199501246882793,0.0,0.05236907730673317,401,166.97972853435203,-23.72017393353477,-59.0625,True,2.246498599439776,5.728571428571429,0.7638095238095238,0.0,1.3920458833295601,1.139295718287315
-23.72017393353477_-61.875,2.913294797687861,2.7777777777777777,2,0.08870967741935484,2.1734104046242773,2.0,7,0.08571428571428572,0.0905587668593449,0.0851063829787234,0.036608863198458574,0.05263157894736842,0.05202312138728324,519,95.52359799854457,-23.72017393353477,-61.875,True,1.7051971326164874,1.6476190476190475,1.635933806146572,1.0116959064327484,0.9202127659574469,0.9534832451499118
-23.72017393353477_-64.6875,2.818639798488665,2.6,7,0.07692307692307693,1.9521410579345089,1.75,7,0.11764705882352941,0.09571788413098237,0.02631578947368421,0.005037783375314861,0.5,0.05037783375314862,397,431.41512015718035,-23.72017393353477,-64.6875,True,1.526923076923077,2.3352941176470585,0.5223684210526315,9.924999999999999,0.8964516129032258,0.9224307417336908
-23.72017393353477_-67.5,3.1468354430379746,2.3,2,0.08695652173913043,2.4329113924050634,2.35,7,0.06451612903225806,0.005063291139240506,0.0,0.002531645569620253,0.0,0.05063291139240506,395,202.27460033493116,-23.72017393353477,-67.5,True,1.7173913043478262,1.2741935483870968,0.0,0.0,0.9659209157127991,0.7308930008045051
-23.72017393353477_-70.3125,2.3703703703703702,2.5,4,0.3333333333333333,5.703703703703703,7.0,7,0.1,0.0,,0.0,,0.07407407407407407,27,11.841385555453598,-23.72017393353477,-70.3125,True,4.5,1.35,,,1.2272727272727273,1.0546875
-23.72017393353477_-73.125,5.267441860465116,5.8,5,0.5,2.127906976744186,2.2,7,0.08333333333333333,0.011627906976744186,0.0,0.03488372093023256,0.0,0.05813953488372093,86,3.889975883066654,-23.72017393353477,-73.125,False,8.6,1.4333333333333333,0.0,0.0,1.0338797814207652,1.1011037527593819
-23.72017393353477_-75.9375,6.193548387096774,7.0,7,0.08333333333333333,1.6129032258064515,3.0,5,0.5,0.03225806451612903,0.0,0.06451612903225806,0.0,0.06451612903225806,31,2.379524818388745,-23.72017393353477,-75.9375,False,1.2916666666666667,7.75,0.0,0.0,1.86,1.1302083333333333
