station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.28169_-52.5,0.0,12,3,,,,,,,,0.16666666666666666,0.0,0.08333333333333333,0.0,-20.28169,-52.5,True,,
-20.28169_-55.0,0.0,10,2,,,,,,,,0.2,0.0,0.0,,-20.28169,-55.0,True,,
-20.28169_-57.5,0.0,9,2,,,,,,,,0.1111111111111111,0.0,0.1111111111111111,0.0,-20.28169,-57.5,True,,
-20.28169_-60.0,0.09090909090909091,11,3,26.139905489981174,7.0,3.6363636363636362,1.925,4.0,1.5454545454545454,2.588235294117647,0.0,,0.0,,-20.28169,-60.0,True,,
-20.28169_-62.5,0.03225806451612903,31,7,113.24374303221703,3.0,3.4838709677419355,0.8611111111111112,1.0,1.7419354838709677,0.5740740740740741,0.03225806451612903,0.0,0.03225806451612903,0.0,-20.28169,-62.5,True,0.0,0.0
-20.28169_-65.0,0.02702702702702703,74,20,26.899205334484577,2.5,3.0945945945945947,0.8078602620087336,1.5,1.6081081081081081,0.9327731092436975,0.06756756756756757,0.0,0.013513513513513514,0.0,-20.28169,-65.0,True,0.0,0.0
-20.28169_-67.5,0.008403361344537815,119,18,21.886113937944174,3.0,2.4789915966386555,1.2101694915254237,1.0,1.6722689075630253,0.5979899497487438,0.06722689075630252,0.0,0.03361344537815126,0.0,-20.28169,-67.5,True,0.0,0.0
-20.28169_-70.0,0.005780346820809248,173,1,1.3912684167735279,5.0,2.832369942196532,1.7653061224489797,1.0,1.5722543352601157,0.6360294117647058,0.06936416184971098,0.0,0.03468208092485549,0.0,-20.28169,-70.0,True,0.0,0.0
-20.28169_-75.0,0.005780346820809248,173,1,1.3779437053017318,7.0,5.578034682080925,1.2549222797927462,1.0,1.9710982658959537,0.5073313782991202,0.07514450867052024,0.07692307692307693,0.04046242774566474,0.0,-20.28169,-75.0,False,13.307692307692308,0.0
-21.549295_-52.5,0.0,20,5,,,,,,,,0.1,0.0,0.05,0.0,-21.549295,-52.5,True,,
-21.549295_-55.0,0.0,15,3,,,,,,,,0.13333333333333333,0.0,0.06666666666666667,0.0,-21.549295,-55.0,True,,
-21.549295_-57.5,0.06666666666666667,15,5,14.943797187879682,1.0,4.533333333333333,0.22058823529411764,1.0,1.2666666666666666,0.7894736842105263,0.13333333333333333,0.0,0.0,,-21.549295,-57.5,True,0.0,
-21.549295_-60.0,0.058823529411764705,17,3,46.633236296474934,2.0,4.235294117647059,0.4722222222222222,1.0,1.588235294117647,0.6296296296296297,0.058823529411764705,0.0,0.0,,-21.549295,-60.0,True,0.0,
-21.549295_-62.5,0.021739130434782608,46,12,81.09299205243587,5.0,3.5,1.4285714285714286,1.0,1.9782608695652173,0.5054945054945055,0.043478260869565216,0.0,0.08695652173913043,0.0,-21.549295,-62.5,True,0.0,0.0
-21.549295_-65.0,0.015384615384615385,65,17,38.293138705193996,3.0,3.1076923076923078,0.9653465346534653,1.0,1.8,0.5555555555555556,0.06153846153846154,0.0,0.046153846153846156,0.0,-21.549295,-65.0,True,0.0,0.0
-21.549295_-67.5,0.012345679012345678,81,19,25.839374028146267,3.0,2.567901234567901,1.1682692307692308,5.0,1.5679012345679013,3.1889763779527556,0.04938271604938271,0.0,0.07407407407407407,0.0,-21.549295,-67.5,True,0.0,0.0
-21.549295_-72.5,0.005747126436781609,174,3,1.289145482587628,1.0,4.258620689655173,0.23481781376518218,1.0,1.839080459770115,0.54375,0.05747126436781609,0.0,0.04597701149425287,0.0,-21.549295,-72.5,False,0.0,0.0
-21.549295_-75.0,0.005780346820809248,173,5,1.648000453133136,7.0,5.687861271676301,1.2306910569105691,1.0,1.9190751445086704,0.5210843373493976,0.05202312138728324,0.0,0.046242774566473986,0.0,-21.549295,-75.0,False,0.0,0.0
-22.816902_-52.5,0.022222222222222223,45,9,16.07297407463193,4.0,3.977777777777778,1.005586592178771,3.0,1.488888888888889,2.014925373134328,0.06666666666666667,0.0,0.044444444444444446,0.0,-22.816902,-52.5,True,0.0,0.0
-22.816902_-55.0,0.041666666666666664,24,6,14.951518177986145,1.0,2.8333333333333335,0.3529411764705882,1.0,1.4583333333333333,0.6857142857142857,0.125,0.0,0.041666666666666664,0.0,-22.816902,-55.0,True,0.0,0.0
-22.816902_-57.5,0.0,27,6,,,,,,,,0.14814814814814814,0.0,0.0,,-22.816902,-57.5,True,,
-22.816902_-60.0,0.038461538461538464,26,7,29.179561603814363,4.0,3.576923076923077,1.118279569892473,1.0,2.1153846153846154,0.4727272727272727,0.07692307692307693,0.0,0.0,,-22.816902,-60.0,True,0.0,
-22.816902_-62.5,0.01694915254237288,59,13,74.76673889905214,1.0,3.3220338983050848,0.3010204081632653,1.0,2.152542372881356,0.4645669291338583,0.05084745762711865,0.0,0.05084745762711865,0.0,-22.816902,-62.5,True,0.0,0.0
-22.816902_-65.0,0.018867924528301886,53,10,61.499651335179806,1.0,2.641509433962264,0.3785714285714286,1.0,1.679245283018868,0.5955056179775281,0.09433962264150944,0.0,0.018867924528301886,0.0,-22.816902,-65.0,True,0.0,0.0
-22.816902_-67.5,0.019230769230769232,104,21,22.637115698307753,3.5,2.8076923076923075,1.2465753424657535,2.5,1.4903846153846154,1.6774193548387097,0.07692307692307693,0.0,0.0673076923076923,0.0,-22.816902,-67.5,True,0.0,0.0
-22.816902_-75.0,0.005747126436781609,174,1,1.0564759257249534,4.0,5.316091954022989,0.7524324324324324,1.0,1.9885057471264367,0.5028901734104047,0.05172413793103448,0.0,0.05172413793103448,0.0,-22.816902,-75.0,False,0.0,0.0
-24.084507_-52.5,0.016666666666666666,60,9,70.87890040129423,4.0,3.8833333333333333,1.0300429184549356,2.0,1.45,1.3793103448275863,0.08333333333333333,0.0,0.03333333333333333,0.0,-24.084507,-52.5,True,0.0,0.0
-24.084507_-55.0,0.029411764705882353,34,7,17.589064221829176,3.0,3.9705882352941178,0.7555555555555555,1.0,1.8823529411764706,0.53125,0.08823529411764706,0.0,0.029411764705882353,0.0,-24.084507,-55.0,True,0.0,0.0
-24.084507_-57.5,0.029411764705882353,34,9,24.311470426619053,7.0,4.323529411764706,1.619047619047619,1.0,1.8823529411764706,0.53125,0.058823529411764705,0.0,0.0,,-24.084507,-57.5,True,0.0,
-24.084507_-60.0,0.02040816326530612,49,13,27.274253591895103,7.0,3.306122448979592,2.117283950617284,1.0,1.816326530612245,0.550561797752809,0.08163265306122448,0.0,0.0,,-24.084507,-60.0,True,0.0,
-24.084507_-62.5,0.0125,80,18,52.11810898035765,7.0,3.45,2.0289855072463765,1.0,1.875,0.5333333333333333,0.05,0.0,0.0625,0.0,-24.084507,-62.5,True,0.0,0.0
-24.084507_-65.0,0.024691358024691357,81,23,45.16377132385969,3.5,2.7160493827160495,1.2886363636363636,1.0,1.7037037037037037,0.5869565217391304,0.07407407407407407,0.0,0.04938271604938271,0.0,-24.084507,-65.0,True,0.0,0.0
-24.084507_-67.5,0.022222222222222223,90,22,20.078036841005087,3.5,2.911111111111111,1.202290076335878,1.5,1.488888888888889,1.007462686567164,0.05555555555555555,0.2,0.044444444444444446,0.0,-24.084507,-67.5,True,9.0,0.0
-24.084507_-75.0,0.005780346820809248,173,4,1.3886256027035415,7.0,5.011560693641618,1.3967704728950405,1.0,1.8497109826589595,0.540625,0.05202312138728324,0.0,0.05202312138728324,0.0,-24.084507,-75.0,False,0.0,0.0
-25.352112_-52.5,0.016129032258064516,62,8,50.6018478423357,2.0,4.387096774193548,0.4558823529411765,1.0,1.8548387096774193,0.5391304347826087,0.06451612903225806,0.0,0.03225806451612903,0.0,-25.352112,-52.5,True,0.0,0.0
-25.352112_-55.0,0.01818181818181818,55,10,62.85486426204443,7.0,3.4909090909090907,2.0052083333333335,1.0,1.8363636363636364,0.5445544554455445,0.09090909090909091,0.0,0.03636363636363636,0.0,-25.352112,-55.0,True,0.0,0.0
-25.352112_-57.5,0.02040816326530612,49,11,28.803447168320417,2.0,3.673469387755102,0.5444444444444444,1.0,1.8775510204081634,0.5326086956521738,0.08163265306122448,0.0,0.0,,-25.352112,-57.5,True,0.0,
-25.352112_-60.0,0.015625,64,17,47.05045893788338,4.0,3.234375,1.2367149758454106,2.0,1.640625,1.2190476190476192,0.109375,0.0,0.015625,0.0,-25.352112,-60.0,True,0.0,0.0
-25.352112_-62.5,0.010526315789473684,95,18,73.56327027082443,4.0,3.0842105263157893,1.2969283276450512,1.0,1.8,0.5555555555555556,0.06315789473684211,0.0,0.05263157894736842,0.0,-25.352112,-62.5,True,0.0,0.0
-25.352112_-65.0,0.013888888888888888,72,16,75.50354339182377,3.0,2.8333333333333335,1.0588235294117647,1.0,1.6944444444444444,0.5901639344262295,0.08333333333333333,0.0,0.05555555555555555,0.0,-25.352112,-65.0,True,0.0,0.0
-25.352112_-67.5,0.011764705882352941,85,27,16.05120040476322,4.0,2.8588235294117648,1.3991769547325104,1.0,1.423529411764706,0.7024793388429752,0.058823529411764705,0.0,0.058823529411764705,0.0,-25.352112,-67.5,True,0.0,0.0
-25.352112_-70.0,0.005747126436781609,174,3,3.1827603466808796,1.0,2.454022988505747,0.40749414519906324,6.0,1.5114942528735633,3.9695817490494294,0.04597701149425287,0.0,0.05747126436781609,0.0,-25.352112,-70.0,True,0.0,0.0
-25.352112_-72.5,0.005747126436781609,174,1,1.1603185907006264,7.0,3.9310344827586206,1.780701754385965,1.0,1.8103448275862069,0.5523809523809524,0.05172413793103448,0.0,0.05172413793103448,0.0,-25.352112,-72.5,False,0.0,0.0
-25.352112_-75.0,0.005780346820809248,173,3,1.7478400783147663,4.0,4.53757225433526,0.8815286624203821,1.0,1.976878612716763,0.5058479532163742,0.05202312138728324,0.0,0.05202312138728324,0.0,-25.352112,-75.0,False,0.0,0.0
-26.619719_-52.5,0.014705882352941176,68,11,106.91932551562786,5.0,3.573529411764706,1.3991769547325101,1.0,1.8529411764705883,0.5396825396825397,0.058823529411764705,0.0,0.029411764705882353,0.0,-26.619719,-52.5,True,0.0,0.0
-26.619719_-55.0,0.015873015873015872,63,13,43.39300040155649,5.0,3.6984126984126986,1.351931330472103,2.0,1.7936507936507937,1.1150442477876106,0.09523809523809523,0.0,0.015873015873015872,0.0,-26.619719,-55.0,True,0.0,0.0
-26.619719_-57.5,0.014705882352941176,68,13,32.10162632167339,1.0,3.661764705882353,0.27309236947791166,3.0,1.7352941176470589,1.728813559322034,0.058823529411764705,0.0,0.0,,-26.619719,-57.5,True,0.0,
-26.619719_-60.0,0.024096385542168676,83,22,26.34007539600134,5.0,3.2409638554216866,1.5427509293680297,3.0,1.8072289156626506,1.66,0.08433734939759036,0.0,0.07228915662650602,0.0,-26.619719,-60.0,True,0.0,0.0
-26.619719_-62.5,0.009174311926605505,109,17,24.883819464594126,3.0,3.2752293577981653,0.9159663865546218,1.0,1.7706422018348624,0.5647668393782384,0.07339449541284404,0.0,0.06422018348623854,0.0,-26.619719,-62.5,True,0.0,0.0
-26.619719_-65.0,0.025,80,20,84.44170653820038,2.5,2.3875,1.0471204188481675,1.0,1.7375,0.5755395683453237,0.075,0.0,0.025,0.0,-26.619719,-65.0,True,0.0,0.0
-26.619719_-67.5,0.022222222222222223,45,14,21.408619545400143,2.0,3.888888888888889,0.5142857142857143,5.0,1.3777777777777778,3.629032258064516,0.06666666666666667,0.0,0.044444444444444446,0.0,-26.619719,-67.5,True,0.0,0.0
-26.619719_-70.0,0.005747126436781609,174,2,4.730588151142001,2.0,2.2988505747126435,0.8700000000000001,1.0,1.5977011494252873,0.6258992805755396,0.04597701149425287,0.0,0.05747126436781609,0.0,-26.619719,-70.0,True,0.0,0.0
-26.619719_-72.5,0.005813953488372093,172,7,1.4847994549199939,7.0,3.3430232558139537,2.0939130434782607,1.0,1.75,0.5714285714285714,0.06976744186046512,0.0,0.03488372093023256,0.0,-26.619719,-72.5,False,0.0,0.0
-26.619719_-75.0,0.005847953216374269,171,7,1.8630665203090757,7.0,4.52046783625731,1.5485122897800778,1.0,2.0350877192982457,0.49137931034482757,0.05263157894736842,0.0,0.03508771929824561,0.0,-26.619719,-75.0,False,0.0,0.0
-27.887323_-52.5,0.013513513513513514,74,16,67.23527200520039,4.0,3.027027027027027,1.3214285714285714,7.0,1.7027027027027026,4.111111111111112,0.0945945945945946,0.0,0.04054054054054054,0.0,-27.887323,-52.5,True,0.0,0.0
-27.887323_-55.0,0.01282051282051282,78,16,101.75908394157887,6.0,3.628205128205128,1.6537102473498233,3.0,1.8974358974358974,1.5810810810810811,0.0641025641025641,0.0,0.0641025641025641,0.0,-27.887323,-55.0,True,0.0,0.0
-27.887323_-57.5,0.012345679012345678,81,16,21.024064952507615,5.0,3.6666666666666665,1.3636363636363638,3.0,1.8271604938271604,1.6418918918918919,0.06172839506172839,0.0,0.024691358024691357,0.0,-27.887323,-57.5,True,0.0,0.0
-27.887323_-60.0,0.021052631578947368,95,20,57.94847868382931,4.0,2.8210526315789473,1.4179104477611941,1.0,1.8631578947368421,0.5367231638418078,0.07368421052631578,0.0,0.06315789473684211,0.0,-27.887323,-60.0,True,0.0,0.0
-27.887323_-62.5,0.008064516129032258,124,20,22.402367927134037,1.0,3.1693548387096775,0.3155216284987277,7.0,1.7741935483870968,3.9454545454545453,0.06451612903225806,0.0,0.04032258064516129,0.0,-27.887323,-62.5,True,0.0,0.0
-27.887323_-65.0,0.009259259259259259,108,19,32.164176274091005,6.0,2.9166666666666665,2.0571428571428574,1.0,1.6666666666666667,0.6,0.06481481481481481,0.0,0.046296296296296294,0.0,-27.887323,-65.0,True,0.0,0.0
