station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.261780104712045_-52.5,0.013008130081300813,1230,288,51.70693136751652,4.0625,3.3739837398373984,1.204066265060241,2.25,1.553658536585366,1.4481946624803768,0.07967479674796749,0.01020408163265306,0.02032520325203252,0.0,-20.261780104712045,-52.5,True,0.784438775510204,0.0
-20.261780104712045_-53.75,0.0128928283642224,1241,300,51.59303639084101,3.5,3.3432715551974215,1.046878765967703,1.9375,1.5334407735697018,1.263498423541776,0.0821917808219178,0.0196078431372549,0.017727639000805803,0.0,-20.261780104712045,-53.75,True,1.5208333333333335,0.0
-20.261780104712045_-55.0,0.013119533527696793,1372,343,51.9620094448328,3.111111111111111,3.1377551020408165,0.9915085817524841,1.3333333333333333,1.5444606413994169,0.863300298883121,0.08381924198250729,0.008695652173913044,0.02040816326530612,0.03571428571428571,-20.261780104712045,-55.0,True,0.6628019323671498,2.722222222222222
-20.261780104712045_-56.25,0.012531328320802004,1596,388,46.61904405802488,3.1,2.9335839598997495,1.0567278940623666,1.25,1.5225563909774436,0.8209876543209876,0.08834586466165413,0.0070921985815602835,0.020050125313283207,0.0,-20.261780104712045,-56.25,True,0.5659574468085107,0.0
-20.261780104712045_-57.5,0.0120415982484948,1827,417,42.94752907007933,3.1363636363636362,2.980295566502463,1.0523666416228399,2.090909090909091,1.5511767925561029,1.347950214922692,0.08812260536398467,0.012422360248447204,0.03065134099616858,0.0,-20.261780104712045,-57.5,True,1.0316205533596838,0.0
-20.261780104712045_-58.75,0.010787992495309569,2132,435,40.57794325053692,2.6956521739130435,3.022045028142589,0.89199603209415,1.7391304347826086,1.6341463414634145,1.064243997404283,0.07363977485928705,0.012738853503184714,0.03189493433395872,0.0,-20.261780104712045,-58.75,True,1.1808363334256438,0.0
-20.261780104712045_-60.0,0.009930915371329879,2316,439,41.5972120128572,3.3043478260869565,3.0444732297063903,1.0853594618093023,1.6521739130434783,1.6528497409326426,0.999591113534142,0.07340241796200346,0.0,0.041018998272884286,0.0,-20.261780104712045,-60.0,True,0.0,0.0
-20.261780104712045_-61.25,0.009310198899703767,2363,428,43.40304359793663,3.5,2.9682606855691915,1.1791417165668663,2.0,1.6821836648328397,1.1889308176100628,0.06517139229792636,0.006493506493506494,0.039356749894202285,0.0,-20.261780104712045,-61.25,True,0.6974616292798111,0.0
-20.261780104712045_-62.5,0.00940572894399316,2339,425,42.743099480867386,3.0454545454545454,2.9850363403163747,1.0202403583240018,2.1363636363636362,1.6472851646002564,1.296899700351556,0.06156477126977341,0.006944444444444444,0.04831124412141941,0.0,-20.261780104712045,-62.5,True,0.738320707070707,0.0
-20.261780104712045_-63.75,0.011458333333333333,1920,426,46.26285005360842,2.8181818181818183,2.9635416666666665,0.9509506310912287,1.9090909090909092,1.5338541666666667,1.24463651798117,0.04739583333333333,0.0,0.030729166666666665,0.0,-20.261780104712045,-63.75,True,0.0,0.0
-20.261780104712045_-65.0,0.01400329489291598,1214,331,44.52560842037201,3.0588235294117645,2.686985172981878,1.1383849677209938,1.8235294117647058,1.4060955518945635,1.2968744615596677,0.06919275123558484,0.0,0.023064250411861616,0.0,-20.261780104712045,-65.0,True,0.0,0.0
-20.261780104712045_-66.25,0.013601036269430052,1544,405,35.88579660281539,2.619047619047619,2.5246113989637307,1.037406240074275,2.142857142857143,1.5310880829015545,1.399564902102973,0.0667098445595855,0.009708737864077669,0.022020725388601035,0.0,-20.261780104712045,-66.25,True,0.7138233934350439,0.0
-20.261780104712045_-67.5,0.011420059582919563,2014,430,29.969800729304552,2.608695652173913,2.6559086395233367,0.9822234143724549,1.9565217391304348,1.683217477656405,1.1623701423624473,0.06653426017874876,0.014925373134328358,0.038728897715988087,0.0,-20.261780104712045,-67.5,True,1.3069435431537961,0.0
-20.261780104712045_-68.75,0.012089810017271158,1737,405,34.41277351230383,2.619047619047619,2.9792746113989637,0.8790890269151139,1.619047619047619,1.775474956822107,0.9118954974986103,0.07772020725388601,0.022222222222222223,0.02648244099021301,0.0,-20.261780104712045,-68.75,True,1.838095238095238,0.0
-20.261780104712045_-70.0,0.008628127696289905,2318,381,27.13412158191204,2.9,2.64969801553063,1.0944643438619341,1.55,1.6652286453839518,0.9308031088082901,0.06471095772217429,0.0,0.0362381363244176,0.0,-20.261780104712045,-70.0,True,0.0,0.0
-20.261780104712045_-71.25,0.003644797879390325,3018,201,11.874868953600526,4.818181818181818,4.91351888667992,0.9805969874754015,3.727272727272727,1.9536116633532141,1.907888244726779,0.051027170311464545,0.0,0.05036447978793903,0.006578947368421052,-20.261780104712045,-71.25,False,0.0,1.8050239234449759
-20.261780104712045_-72.5,0.0016066838046272494,3112,81,6.239389814436436,6.2,5.600899742930591,1.1069650028686173,4.2,2.004177377892031,2.0956228956228955,0.04691516709511568,0.0,0.053020565552699225,0.0,-20.261780104712045,-72.5,False,0.0,0.0
-20.261780104712045_-73.75,0.0006393861892583121,3128,37,5.356204602867365,5.0,5.665920716112532,0.8824691079388366,3.0,2.002237851662404,1.4983234871467348,0.0501918158567775,0.0,0.050831202046035806,0.0,-20.261780104712045,-73.75,False,0.0,0.0
-20.261780104712045_-75.0,0.0006397952655150352,3126,36,7.544071180745959,7.0,5.474088291746641,1.2787517531556802,3.5,1.9753678822776712,1.771821862348178,0.0508637236084453,0.006289308176100629,0.05022392834293026,0.0,-20.261780104712045,-75.0,False,9.830188679245284,0.0
-21.204188481675388_-52.5,0.012327773749093546,1379,325,53.13132517039776,4.294117647058823,3.3089195068890502,1.297740134844207,2.3529411764705883,1.557650471356055,1.5105707087304197,0.07469180565627266,0.02912621359223301,0.02030456852791878,0.03571428571428571,-21.204188481675388,-52.5,True,2.362649914334666,2.8970588235294117
-21.204188481675388_-53.75,0.012405237767057202,1451,343,48.9592345431447,3.2777777777777777,3.2997932460372157,0.9933282279773508,1.8333333333333333,1.5416953824948312,1.1891670391893905,0.07925568573397657,0.008695652173913044,0.027567195037904894,0.0,-21.204188481675388,-53.75,True,0.7009661835748793,0.0
-21.204188481675388_-55.0,0.012516469038208168,1518,356,48.74607436358929,3.3157894736842106,3.1034255599472993,1.068428873074216,1.263157894736842,1.541501976284585,0.8194331983805667,0.09025032938076416,0.0072992700729927005,0.021739130434782608,0.0,-21.204188481675388,-55.0,True,0.5831732616212063,0.0
-21.204188481675388_-56.25,0.011661807580174927,1715,378,45.126998238265514,3.25,2.9988338192419826,1.0837546179272797,1.7,1.5422740524781342,1.1022684310018902,0.08338192419825073,0.0,0.022740524781341108,0.0,-21.204188481675388,-56.25,True,0.0,0.0
-21.204188481675388_-57.5,0.011184544992374174,1967,415,40.68556437268853,2.8181818181818183,3.0096593797661413,0.9363789926289927,2.6363636363636362,1.5531265887137773,1.697455735753608,0.07422470767666497,0.0136986301369863,0.03253685815963396,0.0,-21.204188481675388,-57.5,True,1.2247820672478207,0.0
-21.204188481675388_-58.75,0.009861048857014791,2231,426,42.324347980320454,3.090909090909091,3.0076199013895115,1.0276927245630674,1.6363636363636365,1.6521739130434783,0.9904306220095694,0.06857911250560286,0.0,0.03227252353204841,0.0,-21.204188481675388,-58.75,True,0.0,0.0
-21.204188481675388_-60.0,0.008883248730964468,2364,415,40.59599535539746,2.8095238095238093,3.0664128595600677,0.9162248980154898,2.0476190476190474,1.6831641285956007,1.2165296377409973,0.06810490693739425,0.006211180124223602,0.04483925549915398,0.018867924528301886,-21.204188481675388,-60.0,True,0.6992014196983141,2.1239892183288407
-21.204188481675388_-61.25,0.008695652173913044,2415,405,39.603172335773706,2.9047619047619047,3.0074534161490685,0.9658543301665977,1.7142857142857142,1.7142857142857142,1.0,0.06335403726708075,0.0,0.043064182194616975,0.0,-21.204188481675388,-61.25,True,0.0,0.0
-21.204188481675388_-62.5,0.008801341156747695,2386,417,45.843515172600746,3.142857142857143,3.010477787091366,1.043972872456793,2.0952380952380953,1.6328583403185248,1.283171995697663,0.06496227996647108,0.0,0.05322715842414082,0.007874015748031496,-21.204188481675388,-62.5,True,0.0,0.8946381702287214
-21.204188481675388_-63.75,0.011253196930946292,1955,426,50.54401773959398,3.1363636363636362,3.0531969309462914,1.0272392208227357,1.7272727272727273,1.5508951406649616,1.1137263132645718,0.04296675191815857,0.011904761904761904,0.02710997442455243,0.0,-21.204188481675388,-63.75,True,1.0579004329004327,0.0
-21.204188481675388_-65.0,0.013468013468013467,1188,320,50.390664115548134,3.6875,2.765151515151515,1.3335616438356164,1.625,1.4368686868686869,1.1309314586994728,0.0723905723905724,0.011627906976744186,0.025252525252525252,0.0,-21.204188481675388,-65.0,True,0.8633720930232558,0.0
-21.204188481675388_-66.25,0.015031645569620253,1264,361,42.190467193722725,2.8421052631578947,2.4857594936708862,1.1433548862608462,2.263157894736842,1.5055379746835442,1.5032220593522694,0.08306962025316456,0.0,0.022151898734177215,0.0,-21.204188481675388,-66.25,True,0.0,0.0
-21.204188481675388_-67.5,0.011506276150627616,1912,425,35.23210873827338,3.090909090909091,2.5873430962343096,1.1946266791627616,2.090909090909091,1.6610878661087867,1.2587588733684452,0.07165271966527197,0.0,0.03085774058577406,0.01694915254237288,-21.204188481675388,-67.5,True,0.0,1.473035439137134
-21.204188481675388_-68.75,0.010880829015544042,1930,399,32.170963101089,2.6666666666666665,2.717098445595855,0.981439105008899,2.0952380952380953,1.7450777202072538,1.2006560343852506,0.07202072538860103,0.02158273381294964,0.03367875647668394,0.015384615384615385,-21.204188481675388,-68.75,True,1.9835560123329907,1.413919413919414
-21.204188481675388_-70.0,0.006282335550628234,2706,329,24.320372007787228,1.9411764705882353,2.608647450110865,0.7441313967150821,1.3529411764705883,1.7080561714708056,0.792094076921119,0.06023651145602365,0.0,0.04028085735402809,0.01834862385321101,-21.204188481675388,-70.0,True,0.0,2.920669185105235
-21.204188481675388_-71.25,0.0029450261780104713,3056,168,10.313534759916365,5.888888888888889,4.924410994764398,1.195856498401518,3.3333333333333335,1.9518979057591623,1.7077395920648226,0.049410994764397906,0.006622516556291391,0.04908376963350786,0.0,-21.204188481675388,-71.25,False,2.2487122884473876,0.0
-21.204188481675388_-72.5,0.0009618467457518436,3119,55,6.49688879493624,3.3333333333333335,5.590253286309714,0.5962759042593868,5.0,2.0208400128246233,2.4742186260510866,0.04680987495992305,0.0,0.05354280218018596,0.0,-21.204188481675388,-72.5,False,0.0,0.0
