station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.0_-52.0,0.0148648648648648,1480,424,35.959244,3.590909090909091,3.2135135135135133,1.1174401712669164,1.2727272727272727,1.5722972972972973,0.8094698597491894,0.0736486486486486,0.0275229357798165,0.0344594594594594,0.0,-20.0,-52.0,True,1.8515429524603837,0.0
-20.0_-52.25,0.0147651006711409,1490,408,36.327362,3.863636363636364,3.148322147651007,1.227204899129862,1.4545454545454546,1.5536912751677852,0.93618692322796,0.0731543624161073,0.0,0.0281879194630872,0.0,-20.0,-52.25,True,0.0,0.0
-20.0_-52.5,0.014967925873129,1403,390,37.674427,3.0,3.16535994297933,0.9477595136230578,1.0952380952380951,1.5595153243050606,0.7022938974492906,0.0655737704918032,0.0,0.0292230933713471,0.024390243902439,-20.0,-52.5,True,0.0,1.6295005807200929
-20.0_-52.75,0.0151079136690647,1390,391,37.933826,3.5714285714285716,3.1546762589928057,1.1321062062225118,1.4285714285714286,1.5237410071942443,0.9375421556724672,0.0690647482014388,0.0,0.0323741007194244,0.0,-20.0,-52.75,True,0.0,0.0
-20.0_-53.0,0.0149761742682096,1469,417,35.70366,3.227272727272727,3.061946902654867,1.0539936941671046,1.7272727272727273,1.5003403675970048,1.1512539184952977,0.0646698434309053,0.0105263157894736,0.0333560245064669,0.0,-20.0,-53.0,True,0.7028708133971292,0.0
-20.0_-53.25,0.015256588072122,1442,405,33.21123,3.227272727272727,3.1359223300970873,1.029130312412046,1.6363636363636365,1.5055478502080444,1.0868891587454463,0.0638002773925104,0.0217391304347826,0.0305131761442441,0.0,-20.0,-53.25,True,1.424901185770751,0.0
-20.0_-53.5,0.0153396639883126,1369,395,37.60767,2.857142857142857,3.087655222790358,0.9253438777924228,1.380952380952381,1.4733382030679327,0.9372948981278184,0.0715850986121256,0.010204081632653,0.0328707085463842,0.0,-20.0,-53.5,True,0.6652089407191447,0.0
-20.0_-53.75,0.0160233066278222,1373,409,34.544945,3.8181818181818183,3.1522214129643116,1.211267013947236,1.4090909090909092,1.4777858703568827,0.953514942425736,0.0713765477057538,0.0204081632653061,0.0320466132556445,0.0,-20.0,-53.75,True,1.2736549165120592,0.0
-20.0_-54.0,0.0157932519741564,1393,421,35.098312,3.363636363636364,3.1658291457286434,1.0624819624819624,1.5454545454545454,1.494615936826992,1.0340144965505196,0.0746590093323761,0.0192307692307692,0.0323043790380473,0.0,-20.0,-54.0,True,1.2176573426573427,0.0
-20.0_-54.25,0.016,1250,385,36.460876,2.95,3.3328,0.8851416226596256,1.3,1.512,0.8597883597883598,0.0872,0.0275229357798165,0.0352,0.0,-20.0,-54.25,True,1.720183486238532,0.0
